player,stat,Test,ODI,T20,IPL,,,,,,,,,,,,,,,,,,
Conroy Wright,200s,0,0,0,0,,,,,,,,,,,,,,,,,,
Conroy Wright,300s,0,0,0,0,,,,,,,,,,,,,,,,,,
Conroy Wright,400s,0,0,0,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Matches,0,0,26,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Innings,0,0,25,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Runs,0,0,298,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Balls,0,0,330,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Highest,0,0,35,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Average,0,0,14.19,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,SR,0,0,90.31,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Not Out,0,0,4,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Fours,0,0,21,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Sixes,0,0,3,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,Ducks,0,0,2,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,50s,0,0,0,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,100s,0,0,0,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,200s,0,0,0,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,300s,0,0,0,0,,,,,,,,,,,,,,,,,,
Alan Kirschbaum,400s,0,0,0,0,,,,,,,,,,,,,,,,,,
Hardik Pandya,Matches,11,94,138,152,,,,,,,,,,,,,,,,,,
Hardik Pandya,Innings,18,68,109,140,,,,,,,,,,,,,,,,,,
Hardik Pandya,Runs,532,1904,2288,2749,,,,,,,,,,,,,,,,,,
Hardik Pandya,Balls,720,1717,1568,1871,,,,,,,,,,,,,,,,,,
Hardik Pandya,Highest,108,92,71,91,,,,,,,,,,,,,,,,,,
Hardik Pandya,Average,31.29,32.83,28.25,28.34,,,,,,,,,,,,,,,,,,
Hardik Pandya,SR,73.89,110.9,145.92,146.93,,,,,,,,,,,,,,,,,,
Hardik Pandya,Not Out,1,10,28,43,,,,,,,,,,,,,,,,,,
Hardik Pandya,Fours,68,141,168,207,,,,,,,,,,,,,,,,,,
Hardik Pandya,Sixes,12,76,126,148,,,,,,,,,,,,,,,,,,
Hardik Pandya,Ducks,2,4,4,6,,,,,,,,,,,,,,,,,,
Hardik Pandya,50s,4,11,9,10,,,,,,,,,,,,,,,,,,
Hardik Pandya,100s,1,0,0,0,,,,,,,,,,,,,,,,,,
Hardik Pandya,200s,0,0,0,0,,,,,,,,,,,,,,,,,,
Hardik Pandya,300s,0,0,0,0,,,,,,,,,,,,,,,,,,
Hardik Pandya,400s,0,0,0,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Matches,0,0,27,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Innings,0,0,27,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Runs,0,0,713,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Balls,0,0,602,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Highest,0,0,150,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Average,0,0,33.95,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,SR,0,0,118.44,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Not Out,0,0,6,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Fours,0,0,57,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Sixes,0,0,35,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,Ducks,0,0,1,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,50s,0,0,3,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,100s,0,0,1,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,200s,0,0,0,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,300s,0,0,0,0,,,,,,,,,,,,,,,,,,
Sacha De Alwis,400s,0,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Matches,10,6,1,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Innings,16,3,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Runs,17,6,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Balls,88,18,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Highest,11,4,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Average,2.43,0,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,SR,19.32,33.34,0,0,,,,,,,,,,,,,,,,,,
Nahid Rana,Not Out,9,3,0,0,,,,,,,,,,,,,,,,,,
